Departure_2011,Ticket_class_description,Departure,Destination,Paid_fare,Supplier_name,Directorate,metric1,metric2
February,Economy,UK,UK,78.91,FLYBE BRITISH EUROPEAN,CRB,78.91,78.91
February,Economy,UK,UK,59.03,EASYJET,CRB,59.03,59.03
February,Economy,UK,UK,71.98,FLYBE BRITISH EUROPEAN,CRB,71.98,71.98
February,Economy,UK,UK,59.03,EASYJET,CRB,59.03,59.03
January,Economy,UK,UK,88.01,FLYBE BRITISH EUROPEAN,IPS,88.01,88.01
January,Economy,UK,UK,276.62,BRITISH AIRWAYS,IPS,276.62,276.62
January,Economy,UK,UK,102.31,FLYBE BRITISH EUROPEAN,IPS,102.31,102.31
January,Economy,UK,UK,23.98,FLYBE BRITISH EUROPEAN,IPS,23.98,23.98
January,Economy,UK,UK,88.01,FLYBE BRITISH EUROPEAN,IPS,88.01,88.01
February,Economy,UK,UK,78.91,FLYBE BRITISH EUROPEAN,IPS,78.91,78.91
January,Economy,UK,UK,156.54,BRITISH AIRWAYS,IPS,156.54,156.54
January,Economy,UK,UK,295.59,BMI,IPS,295.59,295.59
January,Economy,UK,UK,71.03,EASYJET,IPS,71.03,71.03
January,Economy,UK,UK,23.98,FLYBE BRITISH EUROPEAN,IPS,23.98,23.98
February,Economy,UK,UK,116.54,BRITISH AIRWAYS,IPS,116.54,116.54
January,Economy,UK,UK,308.47,FLYBE BRITISH EUROPEAN,IPS,308.47,308.47
January,Economy,UK,UK,295.51,FLYBE BRITISH EUROPEAN,IPS,295.51,295.51
January,Economy,UK,UK,101.03,EASYJET,IPS,101.03,101.03
January,Economy,UK,UK,59.03,EASYJET,IPS,59.03,59.03
February,Economy,UK,UK,23.98,FLYBE BRITISH EUROPEAN,IPS,23.98,23.98
January,Economy,UK,UK,79.03,EASYJET,IPS,79.03,79.03
January,Economy,UK,UK,76.01,FLYBE BRITISH EUROPEAN,IPS,76.01,76.01
January,Economy,UK,UK,44.74,EASYJET,IPS,44.74,44.74
January,Economy,UK,Non EEA,91.03,EASYJET,IPS,91.03,91.03
January,Economy,UK,UK,54.74,EASYJET,IPS,54.74,54.74
January,Economy,UK,UK,195.59,BMI,IPS,195.59,195.59
January,Economy,UK,UK,99.91,FLYBE BRITISH EUROPEAN,IPS,99.91,99.91
January,Economy,UK,UK,124.31,FLYBE BRITISH EUROPEAN,IPS,124.31,124.31
January,Economy,UK,UK,132.01,FLYBE BRITISH EUROPEAN,IPS,132.01,132.01
January,Economy,UK,UK,146.33,FLYBE BRITISH EUROPEAN,IPS,146.33,146.33
January,Economy,UK,UK,274.51,FLYBE BRITISH EUROPEAN,IPS,274.51,274.51
January,Economy,UK,UK,182.01,FLYBE BRITISH EUROPEAN,IPS,182.01,182.01
February,Economy,UK,Non EEA,488.83,BRITISH AIRWAYS,IPS,488.83,488.83
January,Business Class,UK,UK,103.69,BRITISH AIRWAYS,IPS,103.69,103.69
January,Economy,UK,UK,132.01,FLYBE BRITISH EUROPEAN,IPS,132.01,132.01
January,Economy,UK,UK,177.15,FLYBE BRITISH EUROPEAN,IPS,177.15,177.15
January,Economy,UK,UK,157.15,FLYBE BRITISH EUROPEAN,IPS,157.15,157.15
January,Economy,UK,UK,234.59,BMI,IPS,234.59,234.59
January,Economy,UK,UK,198.54,BRITISH AIRWAYS,IPS,198.54,198.54
January,Business Class,UK,UK,206.54,BRITISH AIRWAYS,IPS,206.54,206.54
January,Economy,UK,UK,63.81,FLYBE BRITISH EUROPEAN,IPS,63.81,63.81
January,Economy,UK,UK,228.5,EASTERN AIRWAYS,IPS,228.5,228.5
January,Economy,UK,UK,276.62,BRITISH AIRWAYS,IPS,276.62,276.62
January,Economy,UK,UK,290.59,BMI,IPS,290.59,290.59
January,Economy,UK,UK,132.01,FLYBE BRITISH EUROPEAN,IPS,132.01,132.01
January,Economy,UK,UK,91.6,FLYBE BRITISH EUROPEAN,IPS,91.6,91.6
February,Economy,UK,UK,91.6,FLYBE BRITISH EUROPEAN,IPS,91.6,91.6
January,Economy,UK,UK,158.51,FLYBE BRITISH EUROPEAN,IPS,158.51,158.51
January,Economy,UK,UK,109.96,BMI BABY,IPS,109.96,109.96
